THREAD 140537151608384: Thread [140534114104896] joined from multiple (returned 11)
THREAD 140533904287296: 2 moves possible after move #11; creating threads...
THREAD 140533862323776: 3 moves possible after move #11; creating threads...
THREAD 140533887501888: 2 moves possible after move #10; creating threads...
THREAD 140535440152128: 2 moves possible after move #8; creating threads...
THREAD 140533979821632: 2 moves possible after move #12; creating threads...
THREAD 140534055355968: 3 moves possible after move #9; creating threads...
THREAD 140533996607040: 3 moves possible after move #9; creating threads...
THREAD 140533963036224: 2 moves possible after move #8; creating threads...
THREAD 140533870716480: 2 moves possible after move #9; creating threads...
THREAD 140533946250816: 2 moves possible after move #11; creating threads...
THREAD 140537831089728: 3 moves possible after move #9; creating threads...
THREAD 140533895894592: 2 moves possible after move #10; creating threads...
THREAD 140533929465408: 2 moves possible after move #12; creating threads...
THREAD 140533879109184: 2 moves possible after move #12; creating threads...
THREAD 140535566042688: 2 moves possible after move #11; creating threads...
THREAD 140533795182144: 2 moves possible after move #11; creating threads...
THREAD 140533778396736: 2 moves possible after move #12; creating threads...
THREAD 140533786789440: 3 moves possible after move #11; creating threads...
THREAD 140533845538368: 2 moves possible after move #10; creating threads...
THREAD 140536203691584: Thread [140534315529792] joined from multiple (returned 10)
THREAD 140533837145664: 2 moves possible after move #12; creating threads...
THREAD 140533853931072: Thread [140533828752960] joined from multiple (returned 14)
THREAD 140533761611328: 3 moves possible after move #11; creating threads...
THREAD 140533820360256: 2 moves possible after move #10; creating threads...
THREAD 140534315529792: 2 moves possible after move #10; creating threads...
THREAD 140535045695040: 2 moves possible after move #9; creating threads...
THREAD 140539441702464: Thread [140537000605248] joined from multiple (returned 10)
THREAD 140533728040512: 2 moves possible after move #12; creating threads...
THREAD 140533702862400: 2 moves possible after move #10; creating threads...
THREAD 140535423366720: Thread [140533803574848] joined from multiple (returned 11)
THREAD 140533744825920: 2 moves possible after move #9; creating threads...
THREAD 140535104443968: Thread [140533736433216] joined from multiple (returned 11)
THREAD 140533711255104: Thread [140533736433216] joined from multiple (returned 14)
THREAD 140533736433216: 3 moves possible after move #9; creating threads...
THREAD 140533686076992: 2 moves possible after move #10; creating threads...
THREAD 140538669934144: Thread [140535431759424] joined from multiple (returned 11)
THREAD 140534944982592: Thread [140535431759424] joined from multiple (returned 15)
THREAD 140535431759424: 2 moves possible after move #12; creating threads...
THREAD 140533669291584: 2 moves possible after move #9; creating threads...
THREAD 140534861055552: Thread [140533660898880] joined from multiple (returned 11)
THREAD 140533652506176: 2 moves possible after move #11; creating threads...
THREAD 140535507293760: Thread [140533660898880] joined from multiple (returned 15)
THREAD 140533644113472: 2 moves possible after move #11; creating threads...
THREAD 140533660898880: 2 moves possible after move #12; creating threads...
THREAD 140533618935360: 2 moves possible after move #10; creating threads...
THREAD 140533593757248: 2 moves possible after move #10; creating threads...
THREAD 140533585364544: 2 moves possible after move #10; creating threads...
THREAD 140537118037568: Thread [140533576971840] joined from multiple (returned 11)
THREAD 140533568579136: 3 moves possible after move #11; creating threads...
THREAD 140533576971840: 2 moves possible after move #9; creating threads...
THREAD 140533560186432: 2 moves possible after move #12; creating threads...
THREAD 140533543401024: 2 moves possible after move #8; creating threads...
THREAD 140536061081152: Thread [140533551793728] joined from multiple (returned 8)
THREAD 140533535008320: 2 moves possible after move #10; creating threads...
THREAD 140533551793728: 3 moves possible after move #9; creating threads...
THREAD 140533509830208: 2 moves possible after move #10; creating threads...
THREAD 140535666755136: Thread [140533518222912] joined from multiple (returned 10)
THREAD 140533518222912: 2 moves possible after move #11; creating threads...
THREAD 140531503973952: 2 moves possible after move #12; creating threads...
THREAD 140533576971840: Thread [140531537544768] joined from multiple (returned 11)
THREAD 140533467866688: 2 moves possible after move #12; creating threads...
THREAD 140533459473984: 2 moves possible after move #12; creating threads...
THREAD 140542126057024: Thread [140538837722688] joined from multiple (returned 7)
THREAD 140535943648832: Thread [140538837722688] joined from multiple (returned 14)
THREAD 140535599613504: Thread [140538837722688] joined from multiple (returned 13)
THREAD 140538837722688: 2 moves possible after move #12; creating threads...
THREAD 140533434295872: 2 moves possible after move #12; creating threads...
THREAD 140533425903168: 2 moves possible after move #13; creating threads...
THREAD 140535356225088: Thread [140533409117760] joined from multiple (returned 13)
THREAD 140533409117760: 2 moves possible after move #11; creating threads...
THREAD 140533375546944: 2 moves possible after move #12; creating threads...
THREAD 140537134822976: Thread [140533383939648] joined from multiple (returned 10)
THREAD 140535247119936: Thread [140533383939648] joined from multiple (returned 11)
THREAD 140533358761536: 2 moves possible after move #10; creating threads...
THREAD 140533383939648: 2 moves possible after move #11; creating threads...
THREAD 140533341976128: 2 moves possible after move #8; creating threads...
THREAD 140533333583424: 2 moves possible after move #8; creating threads...
